ID;Recipe Name;Servings;Calories;Protein;Fat;Carbs;Meal;Cuisine;Protein2;Vegetarian;Gluten
1;Almost Boston Market Creamed Spinach;4;382;18;27;18;Side;Southern;None;Yes;Yes
2;Baba Ganoush;4;107;3;8;10;Condiment;Mediterranean;None;Yes;Yes
3;Bacon-wrapped Green Bean Bundles;4;168;5;13;9;Side;American;Bacon;No;Yes
4;Bacon, Onion, and Brown Lentil Skillet;4;269;18;4;38;Entrée;Mediterranean;Bacon;No;Yes
5;Baked Chicken Nuggets;4;217;39;8;12;Protein;American;Chicken;No;No
6;Baked Eggplant Parmesan Stacks;4;128;9;5;13;Entrée;Italian;Cheese;Yes;No
7;Baked Shrimp Taquitos;4;303;32;12;34;Entrée;Mexican;Shrimp;No;Yes
8;Beef Burgers with Jerk Onions and Cucumber Avocado Salad;4;421;27;28;22;Entrée;American;Ground beef;No;Yes
9;Black Bean Burger;4;313;16;9;43;Entrée;American;Beans;Yes;No
10;Black Bean Fiesta Mason Jar Salad;4;316;7;17;34;Entrée;Mexican;Beans;Yes;No
11;BLT Macaroni Salad;4;151;5;4;23;Side;American;Bacon;No;Yes
12;BLTA Pesto Chicken Salad;4;357;29;44;4;Entrée;American;Chicken;No;Yes
13;Blue Cheese Polenta with Vegetables;4;359;15;14;42;Entrée;American;Cheese;Yes;Yes
14;Brazilian Shrimp Soup;4;359;24;17;28;Soup;South American;Shrimp;No;No
15;California Grilled Chicken;4;464;45;21;22;Entrée;American;Chicken;No;No
16;Cheese & Spinach Stuffed Portobellos;4;185;15;9;12;Entrée;Italian;Cheese;Yes;Yes
17;Chicken & Mushrooms in a Garlic White Wine Sauce;4;220;30;6;10;Entrée;Italian;Chicken;No;Yes
18;Chicken Alfredo with Broccoli;4;429;31;11;51;Entrée;Italian;Chicken;No;Yes
19;Chicken Club Avocado Boats;4;397;29;26;9;Entrée;American;Chicken;No;Yes
20;Chicken Gyro Bowls;4;386;24;15;39;Entrée;Mediterranean;Chicken;No;No
21;Chicken Helper;4;418;30;14;48;Entrée;Italian;Chicken;No;No
22;Chicken Panang Curry Noodle Bowls;4;468;23;26;25;Entrée;Asian;Chicken;No;Yes
23;Chicken Parmesan Soup;4;360;19;12;46;Soup;Italian;Chicken;No;Yes
24;Chicken Pesto Bake;4;109;14;18;2;Protein;Italian;Chicken;No;Yes
25;Chicken Rollatini with Spinach;4;428;43;22;11;Entrée;Italian;Chicken;No;No
26;Chicken Spinach Soup;4;233;20;1;39;Soup;American;Chicken;No;No
27;Chicken Tikka Masala;4;498;37;16;39;Entrée;Indian;Chicken;No;No
28;Chicken, Feta Cheese, and Sun-Dried Tomato Wraps;4;270;15;11;32;Entrée;Mediterranean;Chicken;No;Yes
29;Chipotle Chicken Taco Salad;4;296;22;8;36;Entrée;Mexican;Chicken;No;Yes
30;Chipotle-Spiced Beef and Bean Chili;4;444;32;20;34;Soup;Mexican;Beef;No;Yes
31;Chorizo Stuffed Poblano Peppers;4;365;17;26;14;Entrée;Mexican;Chorizo;Yes;Yes
32;Coconut Red Curry with Tofu;4;429;16;19;47;Entrée;Asian;Tofu;Yes;No
33;Creamy Cucumber and Tomato Salad;4;130;1;9;11;Side;Mediterranean;None;Yes;No
34;Creamy Garlic Mushroom Chicken;4;286;31;16;6;Entrée;American;Chicken;No;No
